text,page_number,book,chapter
"    CHAP. I.] DYNASTIES IN SPAIN. 9    from Misr, and preserved traditions delivered by ’Amru Ibnu-l-’éss. He himself  has been cited by several doctors, in the number of whom are ’Abdu-r-rahman Ibn  Zeyyad Ibn An’am Al-ifriki and Ya’kib Ibn Sufydn: the latter attributes to him  one of the traditional stories contained in the collection formed by Al-homaydi.   Abii Zor’ah Ibn Rih Ash-shimt.—This individual is also counted by the Kadi Abs Zoran.  Muhéfjir Ibn Theofil in the number of the ¢dbi’s. He left a son, named Moslemah  Ibn Zor’ah, who cited him as his authority in several traditional sayings which he  preserved.   Mohammed Ibn Aus Ibn Thabit Al-ansdrt.—According to Ibnu-l-abbar, who read peo   it in the handwriting of Ibn Hobeysh, this individual was also a tdbi, and held  traditions from the mouth of Abi Horeyrah, one of the companions of the Prophet.  Al-homaydi speaks of him in these terms: ‘‘ Mohammed Ibn Aus was an honest  “and religious man, remarkable for his talents and his theological learning. He  ‘* commanded the Moslem fleet in the year 93 (beginning Oct. 18th, a.p. 711),  “and was present at the conquest of Western Africa and Andalus by Misa Ibn  ““Nosseyr.” Abt Sa’id Ibn Yiinas, in his history of Egypt, corroborates the above  statement, and gives besides the names of all those doctors who held traditions from  him; as Al-harith Ibn Yezid and Mohammed Ibn ’Abdi-r-rahmdn Ibn Thaubdn.  Another writer, ’Abdu-r-rahman Ibn ’Abdillah Ibn ’Abdi-l-hakem, who is also  the author of a history of Egypt, says that Mohammed Ibn Aus was on the sea  of Tunis in the year 102 (beginning July 11th, a.p. 720), and that when Yezid  Ibn Abi Moslem, governor of Eastern Africa, was put to death, he was appointed by  the army to succeed him. This happened during the Khalifate of Yezid Ibn ’Abdi-1-  malek Ibn Merwin. Mohammed Ibn Aus is moreover reported to have held the  government of that country until the arrival of Besher Ibn Sefwan Al-kelbi, who,  leaving his brother Handhalah to govern Egypt in his absence, took into his own  hands the government of the Mohammedan provinces of Eastern Africa.   Abii ’Amru ’Abdu-r-rahmdn Ibn Shamdsah Ibn Dhtb Al-fehrt.—This tdbi’ held ’abdu-r-  traditions from Abi Dharr, or, according to other accounts, from Abi Nadhrah, Shama  who held them from Abi Dharr: he held them also from ’Ayeshah, the widow  of the Prophet, from ’Amru Ibnu-l-’iss, his son ""Abdullah, Zeyd Ibn Thabit, Abi  Nadhrah Al-ghaffiri, ‘Okbah Ibn ’A’mir Al-johani, ’Auf Ibn Malik Al-ashja’i,  Mu’awiyah Ibn Khodeyj, Moslemah Ibn Mokhlid, and Abi Raham. The above in-  formation is borrowed from Ibn Ytinas in his history of Egypt, as well as from Ibnu  Bashktiwal, who, quoting Al-homaydi and Ibnu-l-abbar, counts him in the number  of the tdébi’s who entered Andalus. Ibn Ytinas adds, that the last doctor who, in  Egypt, received traditions from this db’, was Harmalah Ibn ’Amran.   Bekr Ibn Sawddah Ibn Themdimah Al-jodhdmt—He was surnamed Abi-th- Las uUeLS   VOL. II. a",27,book_5,
"    ""Abdullah  Jbnu-l-    mugheyrah.    10 HISTORY OF THE MOHAMMEDAN {Book v.    themaémah, and was the grandson of a companion of the Prophet. He himself was  a tdbi’ and an eminent theologian. He preserved traditions delivered by several of  the companions of the Prophet ; as Abdullah Ibn ’Amru Ibni-l-’éss, Kays Ibn Sa’d,  Ibn ’Obadah, Sahl Ibn Sa’d As-sd’di, Sufydn Ibn Wahb Al-khauléni, Hossdén Ibn  Samh As-saddyi, and Hiyyan. However, the name of the last-mentioned individual,  who is said to have been one of the companions of the Prophet (may God favour and  preserve him !), and to have been present at the taking of Misr, is differently given by  Ad-darkatténi, who writes it Hiyydn; while Ibn Yunas is of opinion that it should  be written Hibén or Habdn. Be this as it may, certain it is that this Bekr pre-  served traditions from several of the as’hdb (companions of the Prophet), as Abi  Nir Al-fahemi, Abii ’Omeyrah Al-mdézeni; and, among the ¢dbi’s (followers),  As-sa’id Ibnu-l-musib, ’Orwah Ibnu-z-zubeyr, Rabi’ah Ibn Kays Al-hameli, Abt  *Abdi-r-rahman Al-jobeli, Zeyd Ibn Na’im a Sufyan Ibn Hani Al-  jeyshani, Sa’id Ibn Semar As-sebdyi, &c.   There are various opinions respecting the country where this tdbi’ lived and died.  Ibn Ytinas is of opinion that he died in Eastern Africa during the Khalifate of  Hisham Ibn ’Abdi-l-malek. Other writers assert that he was drowned in the  straits, in crossing over to Andalus, in the year 128 of the Hijra (beginning Oct. 2,  a.p. 745). Abdi Bekr ’Abdullah Ibn Mohammed Al-kayrwani Al-mdleki, in his  history entitled Riyddhu-n-nofis (the bowers of the mind), says, that Abi-th-  themdmah was one of the ten theologians sent to Africa by the Khalif Omar Ibn  *Abdi-l-’aziz, for the purpose of teaching the Berbers the duties of the Mohammedan  religion.. Al-homaydi counts him in the number of the tdébi’s who entered An-  dalus ; Ibnu-l-faradhi, however, does not.   *Abdullah Ibnu-l-mugheyrah Al-kendnt.—This individual, who was bound by oath  to the tribe of ’Abdu-d-dar, is mentioned by Abi Mohammed Al-assili (from  Arsilla) among the tdbi’s who entered Andalus at the time of its conquest by the  Moslems ; at least, such is the statement given by Ibnu Bashktwal in his work  entitled ‘ Admonition and Explanation,’ &c., as derived from the above-mentioned  author. Tbnu-l-abbér, however, declares that he never met with his name among  those of the tdbi’s who settled in Andalus; and Abi Sa’id Ibn Ytnas counts him  in the number of those who visited Eastern Africa, not Andalus. He adds, that he  held traditions from Sufyén Ibn Wahb Al-khaulani.   Besides the above-mentioned individuals, the historians of Andalus have preserved  to us the names of three persons who lived in more modern times, but who, having  lived to an extraordinary age, are supposed to have been on intimate terms with the  tdbi’s, and to have conversed with them. But in this, as in many other things, we  are inclined to think that the writers of that country have been led away by their    ",28,book_5,
"    CHAP. I.] DYNASTIES IN SPAIN. 11    patriotism. Ibnu-l-abbér, for instance, does not hesitate to count among the  Andalusian ¢dbi’s one ’Abdullah, who showed himself in Andalus in very late  times, and who is said to have lived to a most unusual age, since he pretended  to have conversed with some of the ¢dbi’s. Ibnu-l-abbar adds, that according to a  written statement of Al-kaysi, which he had in his possession, the pretended tdbi’  communicated traditions to Abi Mohammed Ased Al-johanf.   The same observation may be applied to Ibnu Bashkiwél, who counts in the    number of the ¢dbi’s a black man named Mansiir Ibn Khozdmah,” who lived in Mansér Ibn    Cordova towards the year 330 (beginning Sept. 25, a.p. 941). That writer  pretends to have read in a collection of allegations formed by the Sheikh Abi  ’Abdillah Mohammed Ibn ’Abdillah Ibn ’A’yed the following statement of facts :  ‘** Among the men remarkable for their longevity who are known to have resided in  “this country (Andalus), I may count Manstr Ibn Khozdmah, who arrived among  “us in the year 330; so I find it asserted by Al-hakem Al-mustanser-billah, son  “* of ’Abdu-r-rahman An-nésir, Sultan of Cordova, who in one of his works, which,  “ written in his own hand, is preserved in the library (of this city), has the following  “* words,—‘ I received instruction from a black man from Stidén, who came to  ** Cordova in the year 329 (beginning 5th Oct. a. p. 740), and who styled himself  “‘ Manstir, son of Khozdmah, the freedman of Mohammed, the Lord’s messenger.  “He himself told me that he had lived in the time of the Khalif ""Othman Ibn  “Affin, had been with ’Ayeshah on the ‘day of the camel;’* had also  “been present at the battle of Sefayn; and, lastly, that his father Khozamah had  ‘been a liberated slave of the Prophet. Manstir left Andalus the ensuing year,  “« 330, and returned to Africa.’ ”   But all this statement has no foundation whatever, as the illustrious tradi-  tionist Ibn Hajar clearly proves in one of his works: (may God forgive him for  writing upon this subject what I am going to transcribe!). ‘‘ All this account  ‘ of Ibn Khozdmah is an absurdity, and a tissue of lies from beginning to end. Of  “the same stamp seems to be a tradition which I find recorded in the writings of    Khozimah.    “ Andalusian authors, purporting that Abd-l-hasan Ibn ’Othmdn Ibn Khattdb, pet    ‘* better known by the surname of Abi-d-donya, had lived to an extraordinary age,  “50 as to have been a friend of ’Ali Ibn Abi Talib, as likewise of the most illustrious  “among the companions of the Prophet, of all of whom he used to converse  ‘with the people, describing their figure, manners, and countenance; that he  ‘also saw ’Ayeshah, the widow of the Prophet; and, lastly, that he arrived in  “Cordova under the Khalifate of An-ndsir, and conversed with Al-hakem Al-  ‘“* mustanser-billah, then the appointed heir to the throne, which he occupied after  ‘the death of his father; that in one of these conversations he met with Abi Bekr    bn ""Othman,",29,book_5,
"    12 HISTORY OF THE MOHAMMEDAN [Book v.    ‘ Tbnu-l-kiittiyyah, who questioned him about the-battles of ’Ali, and wrote down  ‘ the information given by him on the subject.” c   This ridiculous and wholly unauthorized tradition may be read in the writings of  Tbnu Bashktiwaél and other Andalusian writers; some of whom, as Temim Ibn  Mohammed At-temim{i, have gone so far as to declare that when they met him  he was three hundred and fifty years of age, and that they were informed that his  death took place in his native city in the year 320 (beginning Jan. 12, a. p. 932).   But other writers deserving of greater credit, and endowed with more sound  criticism, have not hesitated to assert that the pretended ¢dbi? was nothing else  than a liar and an impostor. The same judgment, we apprehend, is to be passed  upon the black man who forms the subject of the preceding article: he was  decidedly an impostor ; and if we have done so much as to put his name among  those of the honourable and illustrious followers of the companions of the Prophet,  it has been merely in order to shed greater light upon this interesting subject, and to  show our readers how cautious they must be in the perusal of those works by Eastern  or Western writers which treat exclusively of this matter, as they are well known to  abound with involuntary errors and inaccuracies like the above-mentioned. May  the Almighty God keep us from listening to untruths respecting his revelations or  the history of our Prophet Mohammed and his honourable companions !",30,book_5,
"    CHAP. II. DYNASTIES IN SPAIN. 13    CHAPTER II.    Tarik—The sons of Wittiza—Mugheyth Ar-rimi—His adventure with a Gothic princess—Goes to the  East—Returns to Andalus, and settles therein—Aytib Ibn Habib—’Abdu-l-jabbar Ibn Abi Salmah—  Abdullah Ibn Sa’id—Habib Ibn Abi ’Obeydah—Haywah Ibn Mulabis—’Othmén Ibn Abi ’Abdah—  *Abii-s-sabih Al-yahssobi—Abu Zor’ah Ash-shami—Zeyad Ibn An-ndbighah.    Besipzs the illustrious individuals named in the preceding chapter, who, the Tarik.  Andalusian writers assert, entered their country at the time of Mtisa’s invasion, but  with regard to most of whom strong doubts and objections have been raised by the  writers of this country (the East), there were many others who, though not belonging  to either of the two above distinguished classes, the as’hdbs (companions) and the  tdbi’s (followers), were, nevertheless, illustrious by their birth, renowned for their  exploits against the infidels, or remarkable for their piety and learning, and who  became the fathers of a numerous progeny, the heirs of their virtues and talents.  Enough has been said elsewhere respecting Mtisa Ibn Nosseyr and his freedman  Tarik, who were the two principal instruments by which God Almighty was  pleased to achieve the conquest of so mighty a kingdom as that of Andalus,  to make it unnecessary that we should here return to the subject. But before we  proceed to mention some of the chiefs who assisted in the conquest, we must  here transcribe some verses which the author of the Mas’hab, and Ibn Alyasa’ in  his Mw’arrib,! quote as having been spoken extempore by Tarik when addressing  his followers, soon after his landing on the coast of Andalus. Ibnu Sa’id, who  transcribes them also in his great historical compilation, observes that he in-  troduces them not on account of their elegance or the wit they contain, but on  account of their appropriateness, and as coming from so eminent a man, who  was the chief instrument of the conquest of Andalus. They are as follows:   “We rode a caulked ship (prepared) for our crossing; yet Allah had well   “ nigh bought  “‘ Our lives, property, and families at the price of a Paradise.",31,book_5,
"    ‘The sons of  Wittiza.    14 HISTORY OF THE MOHAMMEDAN [Book v.    “ Tt is true there was nothing we so ardently desired ;  “ As it was of no importance to us how we lost our lives, when we were to  ‘* obtain (by it) so desirable a prize.” ?   As to the sons of Ghittishah (Wittiza), whose treason, as before mentioned, was one  of the principal causes of the conquest, we are told that, wishing to have the treaty  entered into with Tarik confirmed, they appeared before this general and addressed  him thus: ‘‘ Art thou, O Térik! an independent prince, or dost thou acknowledge  “a lord?” To which Térik answered, ‘I am subject to an Amir, who himself  ‘‘ obeys the orders of a supreme commander.” Hearing which, the Barbarians  asked Térik’s permission to repair to Africa, and have an interview with Misa  Ibn Nosseyr, that he might confirm the treaty made with them; to which effect  they begged from him a letter explaining the whole of the affair, as well as  the conditions agreed upon at the time of the invasion. Tarik did as he was  desired, and the princes accordingly crossed over to Africa. They found Mitisa  in Western Barbary, preparing for his expedition into Andalus. Having been  made acquainted with the nature of their request, Mtisa examined and weighed  each of the propositions made to them by Tarik, as well as the services they  had rendered to the cause of the Moslems ; but, unwilling to take upon himself to  decide in their case, he sent them to the Khalif Al-walid Ibn ’Abdi-l-malek,  then the Commander of the Faithful, holding his court at Damascus in Syria, with  a letter informing him of the purport of Térik’s message, and of the illustrious birth  and good services of the petitioners. Al-walid received the Gothic princes with  great kindness, and granted them many favours. He began by ratifying the treaty  entered into with Tarik, and gave each of them a deed under his own signature,  whereby he secured to them, their sons and posterity, the possession of all the  lands specified in their agreement with Tdrik. The same document provided  against any spoliation on the part of the Arabian settlers. This being obtained,  the Barbarian princes returned to Andalus, where, immediately after their arrival,  they were put in possession of all the estates of their father, which they divided  equally among themselves. Almand, who was the eldest, had for his share one  thousand farms in the west of Andalus, and, in order to superintend them, took  up his abode in Seville. Al-artebésh, who was the second, had an equal number  of estates in the centre of Andalus, for which reason he took up his residence at  Cordova; while the third and youngest of all? had his thousand farms in the  eastern parts of Andalus, and the districts of the Thagher,* for which reason he  established himself at Toledo. In this manner the three brothers enjoyed the  undisturbed possession of their respective estates in the very heart of the Moham-  medan dominions, until the eldest, Almand, died, leaving behind him one daughter",32,book_5,
"    CHAP. II.] DYNASTIES IN SPAIN. 15    named Sarah, but who is better known under the appellation of Al-hittiyyah (the  Gothic princess), and two sons in tender age. But, to return to the subject we have  in hand:   Mugheyth Ar-rimf, the conqueror of Cordova.—Al-hijéri and Ibnu Hayyén call Mugheyth.  him Mugheyth® Ar-rimi (the Greek); but the former writer adds, that he was  not, properly speaking, a Greek, and that his genealogy was as follows: Mugheyth,  son of Al-hérith, son of Al-howayrith, son of Jeblah Al-ghosdni, son of Al-ayham.  When still a boy, he was taken prisoner in an inroad which the Moslems made  into the country of Rim (Greece), and, at the partition of the spoil, fell to the  lot of ’Abdu-l-malek Ibn Merwan, who had him educated together with his own son  Al-walid, and, when arrived at the age of manhood, liberated him and gave him  a command in the armies of Africa. Thence he crossed over to Andalus at the  orders of Térik, who sent him forward against Cordova, which city he took in  the manner related in the fourth book of this work. After this, Mugheyth  quarrelled with Tarik, and also with Misa, Tarik’s master. He then accom-  panied them in their journey to Damascus, and returned victorious to Cor-  dova, where he settled and became the head and founder of the noble family well  known in Andalus as the sons of Mugheyth, one of whom was ’Abdu-r-rahman  Ibn Mugheyth, who afterwards filled the office of Hajib to ’Abdu-r-rahmdén Ibn  Mu’dwiyah, first Sultan of Andalus.   The author of the Mas‘hab places the taking of Cordova in the month of Shawwal  of the year 92 (Aug. a.p. 711). He says also that the church, whither the governor  and the garrison betook themselves after the taking of the city, held out for three  months, and was not taken till Moharram of the year 93 (Oct. or Nov. a. p. 711).  No account is there given of the year of Mugheyth’s birth, or that of his death.  Al-hijari says that he was brought up and educated with the sons of ’Abdu-l-malek  Ibn Merwdn at Damascus; that he was taught the Arabic language, in which he  soon became so accomplished a scholar, says Al-hijiri, that ‘‘ he composed both in..  “* prose and in verse as much as would fill this work, were I to attempt to transcribe  “it.” He was likewise trained to horsemanship and all manner of military  exercises, and acquired so great a reputation by his courage and skill, that he  was appointed to command the army destined against Cordova, and became ever  after celebrated by his prudence and deep acquaintance with all the stratagems  of war. We have related elsewhere how Mugheyth gained possession of that city,  and made the prince who commanded in it his prisoner, this being the only Anda-  lusian prince who fell at the time into the hands of the Moslems; some having  made their peace by becoming the subjects of the Arabs, whilst others insured  their safety by fleeing to Galicia.® ;",33,book_5,
"    16 HISTORY OF THE MOHAMMEDAN [BOOK Vv.    His adventure    witha Gethic He historian Al-hijari tells a very curious anecdote of a daughter of this captive   princess. prince. He says that when the Christian, with all his family, was brought  to the presence of Mugheyth, this general saw amidst the women of his harem one  who shone among them like the full moon among the stars. She was the  daughter of the Christian; and Mugheyth at first sight became so deeply enamoured  of her charms, that he instantly made advances to his fair captive. These she  most obstinately refused ; upon which Mugheyth gave her in charge to one of  his followers, instructing him to threaten her with immediate punishment unless she  complied with his wishes within a given time. At last the damsel feigned to give  way, and, having prepared a poisoned robe,’ granted Mugheyth the desired appoint-  ment. God, however, permitted that Mugheyth should in time be informed of her  determination by one of her servants, and he therefore declined the meeting.  They say that when Mugheyth was thus warned of the impending danger, he praised  God for his providential escape, and exclaimed, ‘“‘ By Allah! had this maiden’s  ‘soul been within the body of her father, Cordova would not have been taken  “ by night.”   It is likewise related, that when the Khalif Suleymdn, son of ’Abdu-l-malek, had  summoned to his presence Misa Ibn Nosseyr and Tarik Ibn Zeydd, and heard the  answer of the latter to the charges brought against him by his master, he punished  the former by depriving him of all his riches, and resolved upon restoring Térik to  the command of the Andalusian army. Before, however, carrying into effect this  determination, Suleyman consulted Mugheyth, and asked him what he thought of  Tarik’s administration whilst in Andalus. ‘‘ His administration was such,” answered  Mugheyth, “ that had he ordered the Moslems to turn themselves to any other point  ‘‘ than the kiblah in their prayers, I really think that they would have obeyed his  “commands without considering that they were infringing the laws of our holy  “« Prophet, and committing an impious act.” Such was the impression which these  crafty words produced upon the mind of Suleyman, that he instantly changed his  purpose, and refused to give Tarik the promised government.* They say that  as Tarik met Mugheyth some days after this occurrence, he said to him, “ I wish,  ““O Mugheyth ! thou hadst described me to the Khalif as a man whose authority  “‘ was resisted, instead of saying that the people of Andalus were so obedient  “to me.”—‘ I wish,” replied Mugheyth, ‘‘ thou hadst left me my captive; I  “‘ should then have left Andalus to thee ;” alluding to Taérik’s attempt to seize on  Mugheyth’s royal captive; the governor of Cordova, as elsewhere related.   Goes to Da- According to some writers Mugheyth settled at Damascus, and remained there  till he died. According to other authorities he returned to Andalus, and fixed  his residence in Cordova, taking for his dwelling a magnificent building, which was",34,book_5,
"    CHAP. 11.] DYNASTIES IN SPAIN. 17    ever after known as Baldtt Mugheyth® (the palace of Mugheyth). The authors who  follow the former opinion allude, no doubt, to his first journey to Damascus, whither  he is known to have repaired soon after his taking Cordova. But it is an ascer-  tained fact that he afterwards returned to Andalus, with a message from Al-walid to Retum: to  Misa, whom he had orders to bring back, and whom he accompanied to Damascus.  Nor can there be any doubt that he visited Andalus a third time,’ since he or a son  of his became, as we have observed elsewhere, the stock of that noble and dis-  tinguished family the Beni Mugheyth, who multiplied themselves in Cordova, and  who became the centre of wealth, dignities, and power in that city, their importance  and consideration reaching the highest pitch. One of his descendants, named  *Abdu-r-rahmén Ibn Mugheyth, was appointed Hajib by ’Abdu-r-rahmén, first  Sultan of Cordova. But to return.   We have already stated that Al-hijéri, in his Mas’hab, says that Mugheyth was a  witty poet, and that a whole volume might be filled with his verses; in proof of  which he quotes one which he is reported to have uttered extempore, addressing  himself to Miisa and Térik, when they took away his captive from him:   “ T served you both witb zeal, and yet you behaved ungratefully to me ;   ‘“‘ The East and the West shall henceforth see me your bitterest enemy.”  As a further proof of Mugheyth’s eloquence and readiness of speech, Al-hijari cites  the following answer which he once made to Misa. This general, after reprimanding  him before a crowd of people, said to him, ‘‘ Hold thy tongue, O Mugheyth ! ”—  “‘T shall,” replied he, ‘‘ for my tongue is full of joints, and I can easily fold it  “ until I come to the presence of our master, Al-walid, son of ’Abdu-l-malek.”   Aytb Ibn Habib.—Another of the illustrious individuals who entered Andalus Avét Iba  with Miisa Ibn Nosseyr was (Abii) Aytib Ibn Habib Al-lakhmi. He was a nephew  of that conqueror, being born of one of his sisters. He was present at all the  principal engagements, and distinguished himself very much by his courage and  skill, He was governor of Andalus for some time after the murder of ’Abdu-l-’aziz,  son of Mtisa, whom he succeeded in his office. But, as it is our intention to treat  of him when we come to speak of the governors of Andalus, we shall proceed  with our narrative.   ’Abdu-l-jabbdr Ibn Abt Salmah Al-korasht Az-zahrt.—This individual entered Abdu) jabir  Andalus with Miisa Ibn Nosseyr, who gave him the command of the left wing ™=-  of his army. He settled first at Beja, and afterwards at Badajoz. He was the  father of a numerous progeny, known as the Beni Zahrah, who. inhabited Seville,  whither they removed soon after the conquest. To this family belonged the Kadi  Abi-l-hasan Az-zahri, Abé Bekr Ibn Kheyr, and others.   Abdullah Ibn Sa’td.—We cannot pass over in silence ’Abdullah, the ancestor of Ae Tbn   VOL. II. D",35,book_5,
"    18 HISTORY OF THE MOHAMMEDAN [Book v.    the Beni Sa’id, who, like the above-mentioned individuals, arrived in Andalus  with Misa Ibn Nosseyr. His entire name was Abii Mohammed ’Abdullah Al-’ansi ;  he was the son of Sa’id, son of ’Ammér, son of Yasir,'? (may God be favourable to  him !) one of the companions of the Prophet. Ibnu Hayyén, in his Muktabis, says  that ’Abdullah was the general of the Yemeni Arabs of the Damascus division,  under Yusuf Al-fehri, and that when ’Abdu-r-rahmdén Ibn Mu’dwiyah landed in  Andalus, this ’Abdullah was sent by him to oppose his progress. This commission  ’Abdullah gladly accepted ; for there existed a mortal feud between his own family  and that of Umeyyah, owing to his father ’Ammdr, who had been a partisan  of ’Alf, having been killed at the battle of Sefayn, whilst fighting under the banners  of ’Ali Ibn Abi T4lib, against the troops of Mu’awiyah. This ’Abdullah Ibn Sa’id  was the ancestor of the Beni Sa’id, Lords of Kal’ah Yahssob (Alcal4 la Real), many  princes, governors, generals, poets, and writers, such as the author of the Mugh’rib,  and many others, of whom we shall treat at length in the course of this narrative.   Hahih thn Abt Hablb Ibn Abt ’Obeydah Ibn ’Okbah Ibn Néfi’ Al-fehrt.'*—This individual entered   . Andalus in the suite of Misa Ibn Nosseyr, whom he assisted in his conquests.   He was the grandson of ’Okbah Ibn Nafi’, and one of the officers to whom the  execution of ’Abdu-l-’aziz Ibn Miisa was intrusted by the Khalif Suleymdn. His  son, ’Abdu-r-rahmén, whom he brought with him to Andalus, was the father of  Yusuf Al-fehri, who governed that country for a considerable length of time, until  *Abdu-r-rahmén Ad-daékhel, the first of the Beni Umeyyah, deprived him of power  and life.   eynah Ton Haywah Ibn Muldbis Al-hadhramt.—According to Ibnu Bashkiwal this individual  entered Andalus in the suite of Mtisa. Ibnu Hayydn, however, postpones his  arrival'* to the year 123 (beginning Nov. 25, a.p. 740), when a considerable  number of Syrians, under the command of Balj Ibn Beshr, crossed over from Africa  and settled in Andalus, as we shall relate hereafter. He appears to have been  the chief of the Arabian tribes of the division of Hems (Emessa), who took up  their abode at Seville. He rose in arms against ’Abdu-r-rahman Ibn Mu’dwiyah,  but was defeated.   ap ’Othmdn Ibn Abt ’Abdah Al-korasht is another of the illustrious Moslems who  accompanied Misa Ibn Nosseyr to the conquest of Andalus. He was present at  the taking of Orihuela from Theodomir the Goth, who, as above related, defended  his states valiantly, and obtained favourable terms by means of an ingenious  stratagem which he devised.’ ’Othman, afterwards governor of Andalus, was  killed in the year 112 (beginning March 25, a.p. 730).   Hoeeniry Abii-s-sabéh Ibn Yahya Al-yahssobt—He came to Andalus either in Misa’s  suite, or with Balj Ibn Beshr. Some writers follow the former opinion; the    ",36,book_5,
"    ‘CHAP. II.] DYNASTIES IN SPAIN. . 19    greater number, however, hold the latter. Be this as it may, it is certain that  Abii-s-sabah was the chief of the Yemeni Arabs in Andalus when ’Abdu-r-rahman  Ibn Mu’dwiyah invaded that country. He revolted against that Sultan, who took  him prisoner and had him executed in the year 139 (beginning Jan. 4, a. p. 756).   Abii Zor’ah Ibn Rith Ash-shdmt '* is counted likewise by Ibnu-l-abbér in the number Ravana  of the illustrious Arabs who invaded Andalus with Misa Ibn Nosseyr. He was  an eminent theologian, and preserved many traditional sayings respecting the life  of the Prophet Mohammed, which he held from his as’hdb (companions), and which  were afterwards collected into a body by his son Moslemah Ibn Zor’ah.   Zeydd Ibn An-ndbighah At-temtmt.—He was one of the principal Arabian officers Poveda  who witnessed the conquest of Andalus, having crossed the straits in the suite — _  of Miisa Ibn Nosseyr. He was at the head of the conspiracy by which ’Abdu-l-   ’aziz, son of Misa, lost his life at Seville, and was likewise one of those who  repaired to Damascus with the head of the unfortunate governor. After this he  appears never to have revisited Spain.",37,book_5,
"    Arabian tribes  settling in An-  dalus.    ""ADNA’N.    Beni Hashim.    20 HISTORY OF THE MOHAMMEDAN [Boo v.    CHAPTER III.    Arabian tribes settling in Andalus—’Apna’n—Ben{ Héshim—Beni Umeyyah—Makhzim—Fehr—Ke-  nénah— Hudheyl—Teym—Dhobbah—Kays ’Aylén—Thakif—Rabi’ah—Ay4d—Kautra'n—Arabs of  Yemen—Hostile to the Beni Modhar—Azd—Ans4r—Khazrej—Aus—Gh4fek—Hamdén—Mad’ haj—  Tayy—Morfid—’ Ans—Barrah—’A'milah—Khaulén—Ma’ éfer—Lakhm—Jodhém— Kindah—Tojfb—  Khatha’m—The sons of Himyar—Dhi-ro’ayn—Dhti-assbah— Yahssob—Haw4zen—K odhé’ah—Huseyn  —Kelb—Hadhra-maut—Salmén.    Know, O reader! that when the island of Andalus had been finally subdued by the  Moslems, and the whole of its provinces reduced under the laws of Isl4m,—when  the news of the mighty conquest had spread over the countries inhabited by the  Moslems,—great numbers of the population of Syria and other distant regions felt a  strong desire to visit Andalus, and take up their abode in it. Accordingly, many  individuals of the best and most illustrious among the Arabian tribes left the tents  of their fathers and settled in Andalus, thereby becoming the stock of the many  noble families whose luminous traces are visible throughout the annals of that  country.   As several Andalusian writers have left works wherein the names and genealogy  of all those Arabian tribes, branches of which settled in Andalus, are given in detail,  we might be spared the trouble of repeating here any portion of their writings ;  but this being an interesting topic, and one which, if well treated, may prove of  some assistance to the readers of this our work, we have deemed it opportune to  record the names of the principal Arabian tribes which sent settlers to Andalus,  either at the time of the conquest, or at a subsequent period ; for which end we have  borrowed our information from the most approved sources.   The great stock of ’Adndn, from which issued the Beni Khandéf, and from  these the Beni Koraysh, and from these latter the Beni Héshim, sent numerous  families to Andalus, where they might be found under various denominations.  Ibn Ghalib,’ in his Forjatu-l-anfus, tells us that families descended from the noble  stock of Hashim, of the tribe of Koraysh, were very numerous in Andalus. He  adds, that they all descended from Idris, son of ’Abdullah, son of Hasan, son of",38,book_5,
